  SEDIMENT-YIELD ESTIMATION - SYPOME3

  * Version 3
  * SY equation based on the principle of maximum entropy
  * Program can only compute up to 1500 events
                        
  Universidade Federal do Ceara
  University of Birmingham
  Jose Carlos de Araujo, 2004
  Technische Unibversitat Berlin
  Pedro Alencar, 2019

 --------------------------------------------------------------
 Title: Canabrava           
 --------------------------------------------------------------
 Input file .....................................               defaut
 Output file ....................................               defaut
 Number of precipitation gauges .................    1
 Number of cells ................................    1
 Number of events ...............................  960
 ------------------------------------------------------------
 Precipitation gauge number .....................    1
 ------------------------------------------------------------
    i     id    date      D(mm)     Dur(min)    R(MJ.mm/ha/h)      
  483    483  27047       1.30       3930.1       553.8
  484    484  27048       9.53        373.7       227.9
  485    485  27049       0.58         74.9        35.3
  486    486  27051      20.13       1568.6      1128.5
  487    487  27062       4.74       2429.2       953.6
  488    488  27064       3.41       1410.8       787.8
  489    489  27065       0.05        331.3       242.0
  490    490  27067      11.97       1133.4       821.9
  491    491  27072      15.24        185.6        69.7
  492    492  27073       3.01       1407.9       765.2
  493    493  27074       4.28        840.8       600.7
  494    494  27075       0.05        527.3       333.2
  495    495  27077       0.25        168.5       113.9
  496    496  27084       3.01       1032.2       668.1
  497    497  27085      11.97       1469.4      1017.6
  498    498  27086       5.71        870.0       628.3
  499    499  27089       5.22       3359.6       971.2
  500    500  27096       0.72       1789.3      1010.0
  501    501  27097       6.73         60.5        17.5
  502    502  27099      10.73       4045.9      1333.5
  503    503  27109      59.25       1878.3      1239.2
  504    504  27112       0.79        618.0       424.4
  505    505  27117       1.23       1732.5      1052.1
  506    506  27135      24.57       3431.3      1902.2
  507    507  27137       0.58        351.2       258.9
  508    508  27138      20.13        554.6       339.1
  509    509  27139       0.05        180.0       129.0
  510    510  27140      20.13       3268.2      1738.5
  511    511  27143       0.25        300.1       221.7
  512    512  27412      15.92       1186.8       864.4
  513    513  27413      45.59       1708.6      1227.4
  514    514  27414       6.73       1495.4       934.5
  515    515  27435       0.04       2812.7       835.4
  516    516  27437       1.60        776.9       522.4
  517    517  27441       0.04       1562.8       812.4
  518    518  27444       2.62        896.3       602.9
  519    519  27453       7.27        354.2       221.7
  520    520  27455       0.13        474.3       324.3
  521    521  27456       0.13        236.9       173.7
  522    522  27459      15.24        999.0       725.4
  523    523  27460       2.26        726.7       512.8
  524    524  27461      11.97       1347.6       952.8
  525    525  27466       9.53       1468.3       984.5
  526    526  27470       1.30        737.1       495.6
  527    527  27478       0.16         42.5        12.9
  528    528  27482      26.09       1298.7       940.0
  529    529  27485       0.13       1021.9       425.1
  530    530  27508       5.45       4166.7      1724.0
  531    531  27511       2.26       1405.8       716.2
  532    532  27802       8.19       2575.4      1642.6
  533    533  27804       4.28        600.6       439.2
  534    534  27805      26.09       1673.1      1212.7
  535    535  27807       7.82       1362.7       909.8
  536    536  27811       0.25        146.1        94.9
  537    537  27815      23.07       1827.8      1298.4
  538    538  27819       1.03        583.4       413.3
  539    539  27827      51.72       8507.7      4311.9
  540    540  27846       9.49       2016.9      1419.6
  541    541  27847       1.03        370.8       271.9
  542    542  27848       1.03       2314.1       579.7
  543    543  27851       3.84       2627.2       879.4
  544    544  27852       2.26        667.5       479.3
  545    545  27853       0.01        439.2       289.3
  546    546  27861       1.23       3673.5      1192.1
  547    547  28029       6.96       1214.0       882.0
  548    548  28052       0.34       1714.9       930.8
  549    549  28078      10.66        585.8       247.7
  550    550  28091       0.02       2720.8      1659.9
  551    551  28093       0.58        260.1       186.3
  552    552  28094       8.38        831.3       606.9
  553    553  28125       0.01       6148.5      1842.9
  554    554  28128       8.38       1796.7      1069.4
  555    555  28151       5.09       2912.4      1588.2
  556    556  28178      24.57       1145.8       821.3
  557    557  28180       0.01        657.5       341.6
  558    558  28187       4.08       1861.0      1240.2
  559    559  28188      11.97        576.0       389.2
  560    560  28189      17.29       2356.6      1457.5
  561    561  28193      23.82       1044.8       741.2
  562    562  28195       5.22       1586.8       906.5
  563    563  28215      21.94       8777.8      4646.8
  564    564  28219      32.36       1356.6       973.2
  565    565  28472       3.55        995.4       628.2
